pathogen,checkpoint,model size,mode,epoch,train_loss,train_acc
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,19,0.4215864922319139,0.8268422527318576
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,1,0.7035126771245684,0.4127206500420285
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,2,0.653289828981672,0.7769683384701597
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,3,0.6220406379018512,0.7730456710563183
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,4,0.5910663902759552,0.7873353880638835
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,5,0.5583303017275674,0.797142056598487
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,6,0.5294574839728219,0.8005043429532082
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,7,0.5046373350279671,0.8016251050714486
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,8,0.4837124986307962,0.8038666293079294
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,9,0.4643944948911667,0.8091902493695713
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,10,0.448853646005903,0.813953488372093
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,11,0.4326668509415218,0.8220790137293359
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,12,0.4198259306805474,0.8237601569066966
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,13,0.4087912397725241,0.8332866349117399
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,14,0.3961241223982402,0.8366489212664612
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,15,0.3839901377047811,0.8436536845054637
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,16,0.3742986119219235,0.8419725413281031
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,17,0.3636331206985882,0.8509386382740264
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,18,0.3570214201297079,0.8548613056878678
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,19,0.3471230758087976,0.8576632109834688
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,20,0.3386989033647946,0.8624264499859905
Orthopoxvirus,esm2_t12_35M_UR50D,35M,full,1,0.7224380459104266,0.3684505463715326
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,1,0.7016154925028483,0.4660521582733813
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,2,0.6727858384450277,0.4892086330935252
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,3,0.6529247760772705,0.4469424460431654
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,4,0.6374010245005289,0.4410971223021582
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,5,0.6219033598899841,0.4680755395683453
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,6,0.605757067600886,0.5215827338129496
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,7,0.5865427354971567,0.5816097122302158
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,8,0.5732701321442922,0.606339928057554
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,9,0.5572117467721304,0.6079136690647482
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,10,0.5405017137527466,0.6025179856115108
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,11,0.5265963971614838,0.6133093525179856
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,12,0.5164690713087717,0.6223021582733813
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,13,0.5058780858914057,0.6297212230215827
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,14,0.5002133548259735,0.6319694244604317
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,15,0.4926596681276957,0.6362410071942446
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,16,0.4854218860467275,0.6364658273381295
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,17,0.4774795571962992,0.6465827338129496
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,18,0.4717698395252228,0.6452338129496403
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,19,0.4692439039548238,0.6452338129496403
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,20,0.4613946378231048,0.6508543165467626
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,1,0.699834406375885,0.5134892086330936
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,2,0.6712188720703125,0.4588579136690647
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,3,0.6548527677853903,0.4390737410071942
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,4,0.6368142565091451,0.4615557553956834
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,5,0.6190562049547831,0.533498201438849
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,6,0.5976373056570689,0.60431654676259
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,7,0.5763930678367615,0.6281474820143885
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,8,0.5604733228683472,0.6301708633093526
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,9,0.5429135958353678,0.6279226618705036
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,10,0.5257204473018646,0.6384892086330936
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,11,0.5126942992210388,0.6483812949640287
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,12,0.5011898775895437,0.6504046762589928
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,13,0.4906381418307622,0.6553507194244604
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,14,0.4766441136598587,0.6558003597122302
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,15,0.4700505683819453,0.6596223021582733
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,16,0.461480975151062,0.6620953237410072
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,17,0.4498549550771713,0.6605215827338129
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,18,0.4461162636677424,0.6652428057553957
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,19,0.4366412510474523,0.6715377697841727
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,20,0.4301614811023076,0.6782823741007195
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,1,0.7010421752929688,0.4588579136690647
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,2,0.6636932690938314,0.5431654676258992
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,3,0.6395676334698995,0.4876348920863309
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,4,0.6180273095766703,0.4851618705035971
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,5,0.5945541063944498,0.5568794964028777
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,6,0.5713330805301666,0.6178057553956835
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,7,0.5531987647215525,0.6387140287769785
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,8,0.5263112286726633,0.6420863309352518
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,9,0.5093930164972941,0.647931654676259
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,10,0.4883345713218053,0.6535521582733813
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,11,0.4763948718706767,0.6652428057553957
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,12,0.463111291329066,0.6652428057553957
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,13,0.4546415110429128,0.6683902877697842
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,14,0.4409954597552617,0.685476618705036
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,15,0.4317979166905085,0.6868255395683454
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,16,0.423550546169281,0.6881744604316546
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,17,0.413485437631607,0.697841726618705
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,18,0.4090360477566719,0.7009892086330936
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,19,0.3992974882324536,0.7111061151079137
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,20,0.3957929437359174,0.7129046762589928
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,1,0.7030553221702576,0.4343525179856115
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,2,0.6673910021781921,0.572841726618705
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,3,0.6432300011316935,0.5260791366906474
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,4,0.6196053822835287,0.5240557553956835
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,5,0.5963523884614309,0.5460881294964028
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,6,0.5767938594023386,0.6011690647482014
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,7,0.5532367825508118,0.6348920863309353
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,8,0.533295065164566,0.6555755395683454
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,9,0.5136355459690094,0.6600719424460432
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,10,0.4960756748914718,0.6549010791366906
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,11,0.4800085773070653,0.6641187050359713
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,12,0.4681575795014699,0.6681654676258992
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,13,0.4552345871925354,0.674910071942446
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,14,0.4450708379348119,0.6794064748201439
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,15,0.4334957997004191,0.6818794964028777
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,16,0.4241809646288554,0.6933453237410072
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,17,0.4175119350353877,0.69806654676259
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,18,0.4092101082205772,0.708408273381295
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,19,0.3999870121479034,0.7108812949640287
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,20,0.3958194901545842,0.7196492805755396
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,1,0.7243142326672872,0.4752697841726618
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,1,0.6989883184432983,0.4383992805755395
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,2,0.6782938639322916,0.4170413669064748
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,3,0.6797839800516764,0.4152428057553957
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,4,0.6822597781817118,0.4152428057553957
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,5,0.6819427609443665,0.4152428057553957
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,6,0.6793949405352274,0.4152428057553957
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,7,0.6797242363293966,0.4156924460431654
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,8,0.6766083637873331,0.4159172661870504
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,9,0.674651583035787,0.4156924460431654
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,10,0.6739187637964884,0.4159172661870504
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,11,0.6753963828086853,0.4152428057553957
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,1,0.6959574619928995,0.4910071942446043
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,2,0.6681367953618368,0.4986510791366906
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,3,0.6498498717943827,0.4568345323741007
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,4,0.6350534756978353,0.4485161870503597
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,5,0.6217088599999746,0.4647032374100719
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,6,0.6033332546552023,0.5069694244604317
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,7,0.5857101480166117,0.5726169064748201
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,8,0.5695833067099253,0.6139838129496403
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,9,0.5530296762784322,0.6339928057553957
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,10,0.5409947435061137,0.6380395683453237
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,11,0.5265516837437948,0.6319694244604317
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,12,0.5155034363269806,0.6256744604316546
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,13,0.5063692430655161,0.6344424460431655
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,14,0.4959837992986043,0.6393884892086331
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,15,0.4864421486854553,0.654226618705036
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,16,0.4797200560569763,0.6454586330935251
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,17,0.473088875412941,0.6519784172661871
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,18,0.4660221536954244,0.6490557553956835
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,19,0.4621043453613917,0.6589478417266187
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,20,0.4560028165578842,0.6571492805755396
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,1,0.697580357392629,0.4665017985611511
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,2,0.6699900031089783,0.5242805755395683
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,3,0.6451030373573303,0.4815647482014388
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,4,0.6248886585235596,0.479091726618705
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,5,0.6049246788024902,0.512589928057554
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,6,0.5841579735279083,0.572841726618705
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,7,0.5632720291614532,0.6137589928057554
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,8,0.5418606599171957,0.6371402877697842
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,9,0.525584489107132,0.6400629496402878
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,10,0.5058057208855947,0.6515287769784173
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,11,0.4929151634375254,0.6510791366906474
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,12,0.4765008489290873,0.6578237410071942
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,13,0.4670658459266026,0.6571492805755396
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,14,0.458715761701266,0.6679406474820144
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,15,0.4530523022015889,0.6647931654676259
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,16,0.4409884413083394,0.6632194244604317
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,17,0.4313346097866694,0.6780575539568345
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,18,0.4270337695876757,0.6778327338129496
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,19,0.4210823699831962,0.6861510791366906
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,20,0.4139345834652583,0.6937949640287769
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,1,0.7207788626352946,0.3950089928057554
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,2,0.6795741518338522,0.5962230215827338
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,3,0.6583131750424703,0.4876348920863309
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,4,0.6546623508135477,0.4534622302158273
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,5,0.6504098574320475,0.4856115107913669
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,6,0.6442884405454,0.5267535971223022
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,7,0.6384105483690897,0.5492356115107914
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,8,0.6345844666163126,0.5564298561151079
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,1,0.6949738264083862,0.458289794496691
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,2,0.6526991985738277,0.5606060606060606
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,3,0.6269307993352413,0.6113723441309649
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,4,0.6019283905625343,0.6565656565656566
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,5,0.5823462214320898,0.6759839777081157
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,6,0.5624937899410725,0.6865203761755486
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,7,0.5469236001372337,0.6971438523162661
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,8,0.530871981754899,0.7022814350400557
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,1,0.6921577118337154,0.4634273772204806
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,2,0.6529199928045273,0.5677464298153954
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,3,0.6262432970106602,0.6095437129919888
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,4,0.6024627201259136,0.6335771508185302
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,5,0.5809090994298458,0.657088122605364
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,1,0.7017969004809856,0.4562870080111459
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,2,0.6575409322977066,0.568617206548241
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,3,0.6315754391252995,0.5863810518982933
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,4,0.6065210830420256,0.6175548589341693
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,5,0.5808954201638699,0.6394984326018809
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,6,0.5583969913423061,0.6568268895855103
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,7,0.5364742074161768,0.6676245210727969
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,8,0.5162056926637888,0.6848659003831418
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,9,0.4978996533900499,0.696360153256705
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,10,0.4801451954990625,0.7135144548937652
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,11,0.463346965610981,0.720045280390108
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,12,0.4466281663626432,0.7354580285614768
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,13,0.4343159012496471,0.7416405433646813
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,14,0.420840386301279,0.7498258446534308
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,15,0.4079782627522945,0.7583594566353187
