pathogen,epoch,train_loss,train_acc
Neisseria gonorrhoeae,15,0.5768240796668189,0.6497020854021847
Neisseria gonorrhoeae,16,0.5752969817036674,0.6606256206554121
Neisseria gonorrhoeae,17,0.5719788085728411,0.6524329692154915
Neisseria gonorrhoeae,18,0.565233644157175,0.6680734856007945
Neisseria gonorrhoeae,19,0.567696331985413,0.6551638530287984
Neisseria gonorrhoeae,20,0.5631834793658483,0.673038728897716
Mycobacterium leprae,1,0.7442940150867302,0.545194473187656
Mycobacterium leprae,2,0.6854382568812533,0.560350599549577
Mycobacterium leprae,3,0.6811056730229528,0.5752632540020695
Mycobacterium leprae,4,0.6806844184438117,0.5903585123866334
Mycobacterium leprae,5,0.679419707764437,0.6001582567411284
Mycobacterium leprae,6,0.6739650155692393,0.6124535881672653
