pathogen,checkpoint,model size,mode,loss,grad_norm,learning_rate,epoch,step
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,0.5227388299029806,4.634863376617432,1.0869565217391303e-06,3.0,276
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,0.6521877205890158,1.992171287536621,0.0002010869565217,1.0,92
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,0.56115606556768,5.735111236572266,0.0001010869565217,2.0,184
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,0.5231705541196077,5.178273677825928,1.0869565217391303e-06,3.0,276
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.6672225620435632,5.028894901275635,0.0002010869565217,1.0,92
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.648665013520614,4.2967143058776855,0.0001010869565217,2.0,184
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.6020425713580587,3.5458786487579346,1.0869565217391303e-06,3.0,276
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,full,0.3731580898613633,0.1738206893205642,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,full,0.3255813996156375,2.073381185531616,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,full,0.2982745581495021,0.1137504279613494,2.004008016032064e-07,3.0,1497
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,full,0.3704701884237224,0.1739180237054824,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,full,0.3254022082250438,2.4618008136749268,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,full,0.2888467058628977,0.0972117781639099,2.004008016032064e-07,3.0,1497
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,LoRA,0.3711990631653933,0.138610765337944,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,LoRA,0.3184932487044401,1.9591004848480225,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,LoRA,0.300349080729819,0.089746780693531,2.004008016032064e-07,3.0,1497
Orthoparamyxovirinae,esm2_t33_650M_UR50D,650M,LoRA,0.3716356663522357,0.1349100470542907,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t33_650M_UR50D,650M,LoRA,0.3111145080688721,2.773319721221924,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t33_650M_UR50D,650M,LoRA,0.2848699107198773,0.0721607655286789,2.004008016032064e-07,3.0,1497
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,LoRA,0.3748983868616138,0.1947042346000671,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,LoRA,0.3259436658962456,1.7622911930084229,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,LoRA,0.3139679627810308,0.1025271564722061,2.004008016032064e-07,3.0,1497
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,LoRA,0.3791970843542553,0.1910094022750854,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,LoRA,0.3367499464260552,1.7396658658981323,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,LoRA,0.3258549875630167,0.1401417553424835,2.004008016032064e-07,3.0,1497
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,full,0.3760656689355273,0.1763395518064499,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,full,0.318451906253914,3.0653703212738037,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,full,0.2743143452432208,0.0722663030028343,2.004008016032064e-07,3.0,1497
Orthoparamyxovirinae,esm2_t33_650M_UR50D,650M,full,0.4062358726241545,0.3367949426174164,0.0002002004008016,1.0,499
Orthoparamyxovirinae,esm2_t33_650M_UR50D,650M,full,0.3481470387063189,2.3770575523376465,0.0001002004008016,2.0,998
Orthoparamyxovirinae,esm2_t33_650M_UR50D,650M,full,0.3240956094317541,0.0703355148434639,2.004008016032064e-07,3.0,1497
Legionellales,esm2_t6_8M_UR50D,8M,full,0.6335286264834197,0.9397212266921996,0.0002010869565217,1.0,92
Legionellales,esm2_t6_8M_UR50D,8M,full,0.6373393017312755,9.086566925048828,0.0001010869565217,2.0,184
Legionellales,esm2_t6_8M_UR50D,8M,full,0.5539946763411813,26.43423080444336,1.0869565217391303e-06,3.0,276
Legionellales,esm2_t12_35M_UR50D,35M,full,0.6474559618079144,1.435404658317566,0.0002010869565217,1.0,92
Legionellales,esm2_t12_35M_UR50D,35M,full,0.6069868751194166,11.995795249938965,0.0001010869565217,2.0,184
Legionellales,esm2_t12_35M_UR50D,35M,full,0.5198294183482295,10.40345573425293,1.0869565217391303e-06,3.0,276
Legionellales,esm2_t30_150M_UR50D,150M,LoRA,0.632531041684358,2.508922815322876,0.0002010869565217,1.0,92
Legionellales,esm2_t30_150M_UR50D,150M,LoRA,0.559853222059167,5.024230003356934,0.0001010869565217,2.0,184
